Comunidad_Autonoma,Año,Trimestre,Periodo,Valor_Tasado_€_m2
Albacete,1995,1,1995T1,438.7
Alicante/Alacant,1995,1,1995T1,477.0
Almería,1995,1,1995T1,419.8
Andalucía,1995,1,1995T1,513.4
Araba/Alava,1995,1,1995T1,849.0
Aragón,1995,1,1995T1,573.6
Asturias (Principado de ),1995,1,1995T1,657.9
Badajoz,1995,1,1995T1,377.0
Balears (Illes),1995,1,1995T1,586.0
Barcelona,1995,1,1995T1,860.0
Bizkaia,1995,1,1995T1,919.4
Burgos,1995,1,1995T1,703.9
Canarias,1995,1,1995T1,572.4
Cantabria,1995,1,1995T1,750.0
Castellón/Castelló,1995,1,1995T1,447.8
Castilla y León,1995,1,1995T1,616.9
Castilla-La Mancha,1995,1,1995T1,505.3
Cataluña,1995,1,1995T1,735.0
Ciudad Real,1995,1,1995T1,444.2
Comunidad Valenciana,1995,1,1995T1,479.2
Coruña (A),1995,1,1995T1,650.9
Cuenca,1995,1,1995T1,439.5
Cáceres,1995,1,1995T1,420.3
Cádiz,1995,1,1995T1,500.6
Córdoba,1995,1,1995T1,491.5
Extremadura,1995,1,1995T1,394.7
Galicia,1995,1,1995T1,584.5
Gipuzkoa,1995,1,1995T1,972.2
Girona,1995,1,1995T1,581.4
Granada,1995,1,1995T1,494.8
Guadalajara,1995,1,1995T1,633.4
Huelva,1995,1,1995T1,504.8
Huesca,1995,1,1995T1,447.4
Jaén,1995,1,1995T1,375.8
León,1995,1,1995T1,529.1
Lleida,1995,1,1995T1,492.7
Lugo,1995,1,1995T1,454.0
Madrid (Comunidad de),1995,1,1995T1,1078.4
Murcia (Región de),1995,1,1995T1,425.9
Málaga,1995,1,1995T1,494.5
Navarra (Comunidad Foral de),1995,1,1995T1,722.8
Ourense,1995,1,1995T1,596.4
Palencia,1995,1,1995T1,540.4
Palmas (Las),1995,1,1995T1,576.1
País Vasco,1995,1,1995T1,926.5
Pontevedra,1995,1,1995T1,575.5
Rioja (La),1995,1,1995T1,588.6
Salamanca,1995,1,1995T1,624.1
Santa Cruz de Tenerife,1995,1,1995T1,572.4
Segovia,1995,1,1995T1,615.0
Sevilla,1995,1,1995T1,505.2
Soria,1995,1,1995T1,706.6
TOTAL NACIONAL,1995,1,1995T1,670.8
Tarragona,1995,1,1995T1,497.9
Teruel,1995,1,1995T1,411.1
Toledo,1995,1,1995T1,477.8
Valencia/València,1995,1,1995T1,466.0
Valladolid,1995,1,1995T1,654.7
Zamora,1995,1,1995T1,506.1
Zaragoza,1995,1,1995T1,619.7
Ávila,1995,1,1995T1,579.0
Albacete,1995,2,1995T2,432.1
Alicante/Alacant,1995,2,1995T2,480.0
Almería,1995,2,1995T2,421.1
Andalucía,1995,2,1995T2,514.7
Araba/Alava,1995,2,1995T2,827.9
Aragón,1995,2,1995T2,570.6
Asturias (Principado de ),1995,2,1995T2,635.1
Badajoz,1995,2,1995T2,391.0
Balears (Illes),1995,2,1995T2,591.6
Barcelona,1995,2,1995T2,881.8
Bizkaia,1995,2,1995T2,890.0
Burgos,1995,2,1995T2,749.3
Canarias,1995,2,1995T2,598.4
Cantabria,1995,2,1995T2,751.6
Castellón/Castelló,1995,2,1995T2,435.5
Castilla y León,1995,2,1995T2,631.6
Castilla-La Mancha,1995,2,1995T2,500.6
Cataluña,1995,2,1995T2,744.6
Ciudad Real,1995,2,1995T2,446.6
Comunidad Valenciana,1995,2,1995T2,479.2
Coruña (A),1995,2,1995T2,713.8
Cuenca,1995,2,1995T2,447.5
Cáceres,1995,2,1995T2,417.7
Cádiz,1995,2,1995T2,499.1
Córdoba,1995,2,1995T2,531.1
Extremadura,1995,2,1995T2,399.8
Galicia,1995,2,1995T2,618.8
Gipuzkoa,1995,2,1995T2,1009.6
Girona,1995,2,1995T2,584.6
Granada,1995,2,1995T2,475.3
Guadalajara,1995,2,1995T2,664.1
Huelva,1995,2,1995T2,506.0
Huesca,1995,2,1995T2,434.9
Jaén,1995,2,1995T2,380.6
León,1995,2,1995T2,546.1
Lleida,1995,2,1995T2,485.0
Lugo,1995,2,1995T2,459.8
Madrid (Comunidad de),1995,2,1995T2,1078.4
Murcia (Región de),1995,2,1995T2,421.0
Málaga,1995,2,1995T2,507.8
Navarra (Comunidad Foral de),1995,2,1995T2,742.7
Ourense,1995,2,1995T2,539.0
Palencia,1995,2,1995T2,548.3
Palmas (Las),1995,2,1995T2,606.9
País Vasco,1995,2,1995T2,921.6
Pontevedra,1995,2,1995T2,583.0
Rioja (La),1995,2,1995T2,598.4
Salamanca,1995,2,1995T2,612.2
Santa Cruz de Tenerife,1995,2,1995T2,586.0
Segovia,1995,2,1995T2,648.4
Sevilla,1995,2,1995T2,509.4
Soria,1995,2,1995T2,701.9
TOTAL NACIONAL,1995,2,1995T2,686.0
Tarragona,1995,2,1995T2,514.8
Teruel,1995,2,1995T2,436.5
Toledo,1995,2,1995T2,471.6
Valencia/València,1995,2,1995T2,459.8
Valladolid,1995,2,1995T2,682.1
Zamora,1995,2,1995T2,489.2
Zaragoza,1995,2,1995T2,610.0
Ávila,1995,2,1995T2,584.5
Albacete,1995,3,1995T3,422.3
