Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2025T3;1,3
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2025T2;2,6
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2025T1;4,6
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2024T4;0,9
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2024T3;7,0
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2024T2;2,1
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2024T1;6,5
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2023T4;-2,3
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2023T3;6,7
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2023T2;0,4
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2023T1;0,7
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2022T4;3,8
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2022T3;0,9
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2022T2;0,4
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2022T1;3,3
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2021T4;1,8
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2021T3;5,4
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2021T2;1,5
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2021T1;-1,2
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2020T4;1,2
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2020T3;4,0
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2020T2;2,1
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2020T1;1,8
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2019T4;-2,1
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2019T3;5,0
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2019T2;2,6
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2019T1;1,0
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2018T4;0,6
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2018T3;3,4
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2018T2;2,0
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2018T1;0,9
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2017T4;0,2
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2017T3;1,2
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2017T2;1,9
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2017T1;2,2
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2016T4;-0,8
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2016T3;-1,3
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2016T2;4,1
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2016T1;2,8
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2015T4;1,8
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2015T3;-0,3
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2015T2;3,2
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2015T1;1,7
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2014T4;0,4
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2014T3;0,9
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2014T2;1,0
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2014T1;0,3
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2013T4;-0,3
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2013T3;1,4
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2013T2;-2,2
Nacional;01 Andalucía;Vivienda nueva;Variación trimestral;2013T1;-4,6
