Comunidad_Autonoma,Año,Trimestre,Periodo,Valor_Tasado_€_m2
Andalucía,1995,1,1995T1,513.4
Aragón,1995,1,1995T1,573.6
"Asturias, Principado de",1995,1,1995T1,657.9
"Balears, Illes",1995,1,1995T1,586.0
Canarias,1995,1,1995T1,572.4
Cantabria,1995,1,1995T1,750.0
Castilla y León,1995,1,1995T1,616.9
Castilla-La Mancha,1995,1,1995T1,505.3
Cataluña,1995,1,1995T1,735.0
Comunitat Valenciana,1995,1,1995T1,479.2
Extremadura,1995,1,1995T1,394.7
Galicia,1995,1,1995T1,584.5
"Madrid, Comunidad de",1995,1,1995T1,1078.4
"Murcia, Región de",1995,1,1995T1,425.9
"Navarra, Comunidad Foral de",1995,1,1995T1,722.8
País Vasco,1995,1,1995T1,926.5
"Rioja, La",1995,1,1995T1,588.6
Comunitat Valenciana,1995,1,1995T1,466.0
Andalucía,1995,2,1995T2,514.7
Aragón,1995,2,1995T2,570.6
"Asturias, Principado de",1995,2,1995T2,635.1
"Balears, Illes",1995,2,1995T2,591.6
Canarias,1995,2,1995T2,598.4
Cantabria,1995,2,1995T2,751.6
Castilla y León,1995,2,1995T2,631.6
Castilla-La Mancha,1995,2,1995T2,500.6
Cataluña,1995,2,1995T2,744.6
Comunitat Valenciana,1995,2,1995T2,479.2
Extremadura,1995,2,1995T2,399.8
Galicia,1995,2,1995T2,618.8
"Madrid, Comunidad de",1995,2,1995T2,1078.4
"Murcia, Región de",1995,2,1995T2,421.0
"Navarra, Comunidad Foral de",1995,2,1995T2,742.7
País Vasco,1995,2,1995T2,921.6
"Rioja, La",1995,2,1995T2,598.4
Comunitat Valenciana,1995,2,1995T2,459.8
Andalucía,1995,3,1995T3,495.3
Aragón,1995,3,1995T3,590.1
"Asturias, Principado de",1995,3,1995T3,643.7
"Balears, Illes",1995,3,1995T3,591.6
Canarias,1995,3,1995T3,593.8
Cantabria,1995,3,1995T3,714.3
Castilla y León,1995,3,1995T3,641.4
Castilla-La Mancha,1995,3,1995T3,503.0
Cataluña,1995,3,1995T3,750.4
Comunitat Valenciana,1995,3,1995T3,488.6
Extremadura,1995,3,1995T3,399.8
Galicia,1995,3,1995T3,599.4
"Madrid, Comunidad de",1995,3,1995T3,1086.2
"Murcia, Región de",1995,3,1995T3,429.7
"Navarra, Comunidad Foral de",1995,3,1995T3,759.6
País Vasco,1995,3,1995T3,926.5
"Rioja, La",1995,3,1995T3,594.2
Comunitat Valenciana,1995,3,1995T3,472.2
Andalucía,1995,4,1995T4,514.7
Aragón,1995,4,1995T4,597.5
"Asturias, Principado de",1995,4,1995T4,636.6
"Balears, Illes",1995,4,1995T4,599.2
Canarias,1995,4,1995T4,607.5
Cantabria,1995,4,1995T4,735.4
Castilla y León,1995,4,1995T4,635.3
Castilla-La Mancha,1995,4,1995T4,512.4
Cataluña,1995,4,1995T4,754.3
Comunitat Valenciana,1995,4,1995T4,490.0
